i, time
0, 0.0000001800
5, 0.0000000000
10, 0.0000000000
20, 0.0000000900
40, 0.0000000000
80, 0.0000000900
100, 0.0000000000
160, 0.0000000900
200, 0.0000000000
300, 0.0000000000
320, 0.0000000900
400, 0.0000000000
500, 0.0000000000
600, 0.0000000000
640, 0.0000000000
700, 0.0000000000
800, 0.0000000900
900, 0.0000000900
1000, 0.0000000000
1100, 0.0000000000
1200, 0.0000000900
1280, 0.0000000000
1300, 0.0000000000
1400, 0.0000000900
1500, 0.0000000000
1600, 0.0000000000
1700, 0.0000012600
1800, 0.0000000900
1900, 0.0000000000
2000, 0.0000000900
2100, 0.0000000900
2200, 0.0000000000
2300, 0.0000000900
2400, 0.0000000000
2500, 0.0000000000
2560, 0.0000000000
2600, 0.0000000900
2700, 0.0000000000
2800, 0.0000000900
2900, 0.0000000900
3000, 0.0000000900
3100, 0.0000000900
3200, 0.0000000000
3300, 0.0000000000
3400, 0.0000000900
3500, 0.0000000000
3600, 0.0000000900
3700, 0.0000000900
3800, 0.0000000900
3900, 0.0000000900
4000, 0.0000000900
4100, 0.0000000900
4200, 0.0000000000
4300, 0.0000000900
4400, 0.0000000000
4500, 0.0000000900
4600, 0.0000000900
4700, 0.0000000000
4800, 0.0000000000
4900, 0.0000010800
5000, 0.0000000900
5100, 0.0000000000
5120, 0.0000000000
5200, 0.0000000900
5300, 0.0000000000
5400, 0.0000000900
5500, 0.0000000900
5600, 0.0000000900
5700, 0.0000000900
5800, 0.0000000000
5900, 0.0000000000
6000, 0.0000000900
6100, 0.0000000900
6200, 0.0000000000
6300, 0.0000000000
6400, 0.0000000900
6500, 0.0000000000
6600, 0.0000000000
6700, 0.0000000000
6800, 0.0000000900
6900, 0.0000000000
7000, 0.0000000900
7100, 0.0000000900
7200, 0.0000000000
7300, 0.0000000000
7400, 0.0000000000
7500, 0.0000000000
7600, 0.0000000000
7700, 0.0000000900
7800, 0.0000000000
7900, 0.0000000000
8000, 0.0000000000
8100, 0.0000010800
8200, 0.0000000000
8300, 0.0000000900
8400, 0.0000000000
8500, 0.0000000000
8600, 0.0000000000
8700, 0.0000000000
8800, 0.0000000900
8900, 0.0000000000
9000, 0.0000000000
9100, 0.0000000900
9200, 0.0000000000
9300, 0.0000000000
9400, 0.0000000900
9500, 0.0000000000
9600, 0.0000000900
9700, 0.0000000900
9800, 0.0000000000
9900, 0.0000000000
